server port,client port,Q1_IAT,Med_IAT,Min_IAT,Q3_IAT,Max_IAT,Var_IAT,Mean_IAT,Classes
6346,4798,0.000208,0.057245,0.185908,0.458884,0.910548,1.058978,0.175819,P2P
4662,3592,0.000447,0.000592,0.895784,2.786591,1.886923,42.007144,77.607828,P2P
4662,3446,0.000283,0.000533,0.037384,2.093796,0.16951,40.383741,81.23402,P2P
4662,3598,0.000424,0.000815,0.192246,2.615025,0.494187,40.310326,94.442624,P2P
3550,4662,0.001169,0.001169,0.001169,0.001169,0.001169,0.001169,0,P2P
8765,45074,0.000075,0.000116,0.000299,0.034281,0.000628,0.18579,0.005099,P2P
4662,3258,0.000286,0.000529,0.087996,2.515708,0.166761,41.437371,100.607261,P2P
4662,3349,0.000338,0.000628,0.638602,3.104811,1.625686,42.857749,99.106827,P2P
4662,3160,0.000409,0.000901,2.086449,3.502492,3.301338,42.575608,69.106785,P2P
4662,3450,0.000361,0.000774,0.08701,2.6088,0.163184,43.074479,108.746811,P2P
4662,3452,0.000399,0.000807,0.096143,2.600402,0.15165,42.979488,108.28,P2P
8765,53516,0.000001,0.000113,0.000396,0.033058,0.021889,0.147863,0.003644,P2P
3296,4662,0.000205,0.000545,0.00436,0.741358,1.707652,2.488282,1.108589,P2P
4662,3472,0.000418,0.000854,0.272536,2.768192,1.197861,40.615597,89.574247,P2P
8765,48639,0.000002,0.000276,0.000359,0.035379,0.00661,0.155446,0.00462,P2P
4662,3323,0.000288,0.000742,0.00824,1.84593,0.156068,41.98834,73.129843,P2P
8765,59178,0.00003,0.000122,0.000351,0.034781,0.002811,0.168823,0.004642,P2P
4662,3176,0.000416,0.00071,0.10022,3.19497,0.185986,42.990048,131.235463,P2P
4661,3560,0.000392,0.000977,0.042108,2.463829,0.218728,42.174459,98.25709,P2P
4662,3192,0.000415,0.00118,0.11241,2.539015,0.273331,41.708038,86.030829,P2P
4662,3418,0.000224,0.000513,0.12736,2.33648,0.508895,40.53671,81.152519,P2P
3296,4662,0.002669,0.08873,0.174791,0.34137,0.510721,0.84665,0.198887,P2P
4662,3506,0.000003,0.000551,0.063794,2.928129,0.758611,42.819164,106.27105,P2P
4662,3178,0.000155,0.000463,0.144276,3.400257,4.419508,41.682467,60.22843,P2P
8765,53551,0.000002,0.00039,0.000438,0.037637,0.019822,0.158614,0.004731,P2P
4662,3234,0.000326,0.00059,0.105447,2.558689,0.115595,42.355164,105.178715,P2P
4809,6346,0.000168,0.000888,0.001608,0.001608,0.002327,0.003047,0.000004,P2P
3510,4662,0.000459,1.041806,1.700413,2.196887,2.855493,5.386262,5.227812,P2P
8765,43063,0.000013,0.000114,0.00025,0.037597,0.004011,0.180053,0.005402,P2P
3492,4662,0.000605,0.001599,1.065119,1.115226,2.178746,2.330059,1.661321,P2P
8765,50648,0.000001,0.000095,0.000117,0.021977,0.000296,0.179613,0.003484,P2P
8765,42376,0.000002,0.000163,0.000292,0.039108,0.018576,0.170103,0.005227,P2P
8765,34975,0.000088,0.000118,0.000342,0.03561,0.018134,0.164113,0.004388,P2P
8765,41482,0.000002,0.000128,0.000337,0.036742,0.018654,0.156466,0.004565,P2P
4662,3186,0.000405,0.000728,1.219659,3.555625,2.699793,38.241526,87.327967,P2P
4662,3546,0.000271,0.000524,0.066026,2.521656,0.076977,42.071221,103.873942,P2P
6346,4809,0.000195,0.000196,0.000198,0.000198,0.000199,0.0002,0,P2P
8765,37521,0.000001,0.000165,0.000389,0.39463,0.264625,5.945517,1.508137,P2P
8765,42236,0.000003,0.000113,0.000235,0.039742,0.011517,0.184258,0.005763,P2P
4662,3198,0.000439,0.001652,0.425649,0.825622,1.499729,36.077801,3.11687,P2P
4662,3426,0.0003,0.000527,0.098448,2.518234,0.1559,41.39957,100.400118,P2P
8765,49112,0.000114,0.000323,0.000382,0.046613,0.084837,0.171411,0.00617,P2P
8765,52905,0,0.000065,0.000117,0.012143,0.00022,0.156034,0.001608,P2P
8765,56312,0.000001,0.000117,0.00028,0.038428,0.003396,0.181195,0.005662,P2P
4662,3518,0.000291,0.000745,0.74381,3.206935,1.605133,40.054395,97.195546,P2P
8765,40170,0.000024,0.000115,0.000325,0.037941,0.00774,0.177937,0.005354,P2P
8765,39237,0.000035,0.000114,0.000346,0.034365,0.000523,0.178547,0.004891,P2P
4662,3544,0.000426,0.000652,0.0011,0.076031,0.164755,0.199878,0.009091,P2P
60000,3400,0.000001,0.001215,0.137038,2.660999,1.622396,41.82866,74.739092,P2P
8765,54343,0.000001,0.000144,0.000328,0.037785,0.017876,0.16105,0.004878,P2P
8765,38622,0.000001,0.000116,0.000336,0.0366,0.01927,0.168156,0.004617,P2P
4662,3296,2.636738,2.636738,2.636738,2.636738,2.636738,2.636738,0,P2P
4662,3382,0.000423,0.006869,0.013314,0.219744,0.329404,0.645494,0.135989,P2P
4662,3410,0.000397,0.000767,0.158432,0.146371,0.218681,0.461332,0.02697,P2P
4662,3364,0.000292,0.000552,0.064011,2.115296,0.166341,40.709789,82.532826,P2P
4662,3279,0.000291,0.000551,0.076299,2.434572,0.12402,40.291085,95.174962,P2P
3482,4662,0.109601,0.109601,0.109601,0.109601,0.109601,0.109601,0,P2P
4662,3196,0.000404,0.000795,0.205833,3.010037,0.402643,41.287517,97.537662,P2P
4662,3294,0.000405,0.000865,1.149725,3.457933,2.58201,41.945808,93.871926,P2P
4662,3206,0.000274,0.000602,0.090626,2.603426,0.14517,42.999367,108.371422,P2P
8765,54181,0.000001,0.000311,0.000396,0.037336,0.015191,0.154583,0.004432,P2P
4662,3498,0.000331,0.000906,0.069474,2.474056,0.211017,42.314455,98.890144,P2P
4662,3562,0.696954,0.696954,0.696954,0.696954,0.696954,0.696954,0,P2P
4662,3544,0.18722,0.18722,0.18722,0.18722,0.18722,0.18722,0,P2P
8765,35646,0.000028,0.000117,0.000271,0.027376,0.000918,0.162501,0.003805,P2P
4662,3478,0.289346,0.289346,0.289346,0.289346,0.289346,0.289346,0,P2P
4662,3588,0.000312,0.00075,0.043852,2.195276,0.121959,42.655183,90.698125,P2P
4662,3482,0.000403,0.000415,0.000427,0.360454,0.54048,1.080533,0.388885,P2P
8765,44721,0.000001,0.000388,0.00046,0.035231,0.004962,0.155254,0.004609,P2P
8765,33696,0.000001,0.000113,0.000118,0.019537,0.000326,0.158729,0.002637,P2P
4662,3484,0.00044,0.001596,0.118728,4.185182,0.266118,41.116492,147.700327,P2P
4662,3536,0.000443,0.000689,0.134183,2.613285,0.422718,40.540894,95.619236,P2P
4662,3440,0.000422,0.000462,0.000807,0.722929,1.739826,1.873127,0.980618,P2P
4662,3544,0.00041,0.00281,0.00521,0.080107,0.119955,0.2347,0.01793,P2P
4662,3508,0.000396,0.000476,0.154145,3.459838,3.165605,43.541108,71.163965,P2P
4662,3496,0.000258,0.000831,0.092136,2.006783,0.173554,41.666479,78.483617,P2P
4662,3434,0.000291,0.000542,0.154778,3.081117,1.127452,44.272429,112.999408,P2P
4662,3336,0.000428,0.000941,0.056791,2.462293,0.241304,42.363965,99.181907,P2P
4662,3550,1.514528,1.514528,1.514528,1.514528,1.514528,1.514528,0,P2P
8765,46715,0,0.00013,0.000209,0.030023,0.000394,0.16657,0.004045,P2P
8765,59354,0.000003,0.000366,0.002304,0.29028,0.012202,2.862602,0.816925,P2P
8765,41694,0.000117,0.000232,0.000288,0.027918,0.000374,0.155547,0.0037,P2P
4662,3355,0.000363,0.000734,0.118822,2.241736,0.353122,41.374507,84.884531,P2P
4662,3166,0.00043,0.000622,0.054335,2.950093,0.149017,43.253533,124.32019,P2P
4662,3528,0.00041,0.001897,0.140501,3.799872,0.544159,43.350203,112.445161,P2P
3440,4662,0.125905,0.125905,0.125905,0.125905,0.125905,0.125905,0,P2P
8765,47094,0.000001,0.000214,0.000339,0.04038,0.028011,0.16678,0.005216,P2P
8765,41667,0.000001,0.000297,0.000371,0.036798,0.014829,0.158108,0.004702,P2P
8765,52820,0.000002,0.000116,0.000269,0.042873,0.035884,0.175693,0.005701,P2P
8765,51034,0.000015,0.000123,0.000339,0.038487,0.030066,0.158064,0.004567,P2P
4662,3550,0,0,0,0,0,0,0,P2P
3440,4662,0.000395,0.849718,1.70013,1.617667,2.468079,3.070013,1.794049,P2P
4662,3568,0.000374,0.005613,0.152503,2.758756,0.833332,43.445185,103.265525,P2P
4662,3303,0.000307,0.000519,0.030679,2.200134,0.033378,43.256239,93.38864,P2P
6346,4815,0.000187,0.000427,0.111997,0.247334,0.287198,1.476723,0.155549,P2P
4662,3267,0.000249,0.000553,0.092173,2.444394,0.164393,40.241691,94.878142,P2P
8765,38568,0.000019,0.000117,0.000345,0.03905,0.014389,0.178536,0.00545,P2P
4662,3424,0.000197,0.001077,0.194126,2.292502,2.081242,39.13039,53.493733,P2P
8765,37129,0.000016,0.000156,0.000329,0.039608,0.011603,0.183997,0.005709,P2P
3510,4662,0.000816,0.000816,0.000816,0.000816,0.000816,0.000816,0,P2P
8765,47214,0.000001,0.000186,0.000362,0.040898,0.014944,0.176425,0.005882,P2P
4662,3548,1.051714,1.051714,1.051714,1.051714,1.051714,1.051714,0,P2P
4662,3564,0.000395,0.000774,0.039799,2.455837,0.128689,42.949424,102.137369,P2P
6346,4778,0.000187,0.000469,0.002823,0.077718,0.135332,0.336106,0.012886,P2P
4662,3492,0,0,0,0,0,0,0,P2P
4662,3281,0.000291,0.000785,0.061237,1.938172,0.143438,40.742168,75.135264,P2P
8765,52170,0.000001,0.000216,0.000378,0.040993,0.018496,0.175956,0.00577,P2P
8400,2946,0.000154,0.000242,0.002413,0.039633,0.051723,0.145612,0.004323,P2P
4662,3444,0.000415,0.000752,0.137901,2.612549,0.435798,41.572553,94.883795,P2P
4662,3538,0.0004,0.00079,0.092991,2.602492,0.173211,43.044697,108.618704,P2P
4662,3250,0.000376,0.00071,0.747703,3.124744,2.033837,40.536755,88.17134,P2P
4662,3420,0.000254,0.000596,0.034162,2.31046,0.05453,41.822664,91.680517,P2P
4662,3478,0.464228,0.464228,0.464228,0.464228,0.464228,0.464228,0,P2P
4662,3325,0.000429,0.000717,0.140652,2.651563,0.695034,40.039999,92.949636,P2P
8765,50332,0.000028,0.000218,0.00039,0.048367,0.092458,0.173709,0.00632,P2P
8765,42742,0.00004,0.00012,0.000246,0.034114,0.010241,0.15813,0.004225,P2P
4662,3190,0.00038,0.000812,0.074225,2.484311,0.192572,41.282037,93.926548,P2P
8765,46081,0.000002,0.000116,0.000252,0.034249,0.014638,0.155992,0.004136,P2P
8765,50883,0.000001,0.000117,0.000302,0.034679,0.018283,0.157158,0.00414,P2P
8765,52036,0.000001,0.000114,0.000383,0.061478,0.011991,0.30773,0.014862,P2P
8765,43396,0.000105,0.000146,0.000365,0.028452,0.000804,0.161531,0.003796,P2P
4662,3410,0.590029,0.590029,0.590029,0.590029,0.590029,0.590029,0,P2P
3440,4662,0.00052,0.000836,0.001478,0.83067,1.922068,2.228446,1.302565,P2P
8765,40846,0.000045,0.000117,0.000343,0.035331,0.007254,0.165675,0.004642,P2P
4662,3430,0.000404,0.000764,0.234099,3.410633,1.972434,43.281659,106.578293,P2P
4662,3562,1.301514,1.301514,1.301514,1.301514,1.301514,1.301514,0,P2P
4662,3422,0.000422,0.000789,0.170407,2.622853,0.359953,41.622989,101.042217,P2P
8400,54523,0.000001,0.000232,0.001041,0.041172,0.038046,0.181392,0.005487,P2P
4662,3287,0.000407,0.000766,0.082935,2.211606,0.171881,42.515846,90.009424,P2P
8765,46795,0.000001,0.000083,0.000361,0.02913,0.002107,0.158604,0.004032,P2P
4662,3380,0.00039,0.00084,0.167022,2.632066,2.890024,39.493848,58.441708,P2P
4661,3319,0.000246,0.000586,0.086915,2.908364,0.136331,40.172898,93.155743,P2P
4662,3548,0.000457,0.103509,0.20656,0.975028,1.462313,2.718066,2.289257,P2P
3492,4662,0.000514,0.000922,0.155235,0.803479,1.909054,1.951669,1.062427,P2P
3296,4662,0.000371,0.000371,0.000371,0.000371,0.000371,0.000371,0,P2P
4662,3574,0.000303,0.000521,0.046778,2.427308,0.199806,41.987118,97.48873,P2P
3410,4662,0.000316,0.000377,0.000438,0.030462,0.045536,0.090633,0.002715,P2P
4662,3382,0.805372,0.805372,0.805372,0.805372,0.805372,0.805372,0,P2P
4662,3238,0.000331,0.000575,0.133229,2.934355,1.582497,39.243799,88.130361,P2P
8765,47114,0.000076,0.000134,0.000305,0.036627,0.011488,0.169941,0.004847,P2P
8765,57648,0.000098,0.00017,0.000341,0.029325,0.000447,0.160975,0.003816,P2P
8765,32816,0.000001,0.000338,0.00039,0.036221,0.014724,0.155241,0.004535,P2P
4662,3520,0.000255,0.000599,0.091362,2.454942,0.101379,40.750983,97.395317,P2P
4662,3542,0.000264,0.000476,0.082185,1.981849,0.156072,36.417727,62.694094,P2P
4662,3510,0,0,0,0,0,0,0,P2P
8765,43799,0.000002,0.000196,0.000356,0.032566,0.003392,0.177233,0.004961,P2P
4662,3478,0,0,0,0,0,0,0,P2P
4662,3482,0.00046,0.002843,0.005225,0.539379,0.808838,1.612451,0.863619,P2P
4662,3182,0.000268,0.000678,0.125983,2.73755,2.905644,39.983383,67.78263,P2P
8765,44848,0.000001,0.000242,0.000357,0.037155,0.014688,0.156298,0.00456,P2P
8765,51870,0.000352,0.000759,0.104998,4.208709,2.575788,53.982812,136.867071,P2P
8765,57925,0.00001,0.000106,0.00031,0.031822,0.000398,0.166235,0.004172,P2P
4662,3500,0.000399,0.000845,0.091018,2.009881,0.142459,42.561279,82.040085,P2P
3382,4662,0.000548,0.002483,0.15464,0.24781,0.373804,0.826912,0.092897,P2P
4662,3388,0.000405,0.00115,0.165573,2.624503,2.512192,40.745784,70.549624,P2P
8765,53266,0,0.000081,0.000361,0.029124,0.003426,0.157268,0.003952,P2P
8765,37604,0.00001,0.000122,0.000229,0.034062,0.000372,0.183177,0.004807,P2P
4662,3378,0.00039,0.00075,0.196674,2.464973,0.386445,41.257332,93.760772,P2P
4662,3222,0.000295,0.000554,0.077458,2.547299,0.142861,42.246386,104.662709,P2P
3478,4662,0.000159,0.000704,0.001248,0.138782,0.208093,0.414938,0.057197,P2P
8765,52191,0.000022,0.000116,0.000369,0.039386,0.002634,0.188438,0.005979,P2P
4662,3586,0.000424,0.000837,0.150386,2.391814,0.57727,40.796773,86.579213,P2P
4662,3361,0.000404,0.000899,0.189973,4.86808,0.278677,44.15135,141.089901,P2P
8765,55234,0.000001,0.000116,0.000372,0.028668,0.007171,0.155768,0.003456,P2P
8765,39650,0,0.000142,0.00023,0.032891,0.006546,0.175458,0.004874,P2P
4662,3283,0.000384,0.000478,0.050883,2.462524,0.070086,41.1905,99.602185,P2P
8765,59168,0.000001,0.000136,0.000343,0.038943,0.019266,0.166271,0.00515,P2P
6346,4801,0.000193,0.000559,0.003614,0.21809,0.292391,1.144526,0.14101,P2P
6346,4809,0,0,0,0,0,0,0,P2P
8400,2703,0.000104,0.000189,0.003197,0.040214,0.053495,0.146429,0.004323,P2P
4806,6346,0.000212,0.000597,0.003377,0.217721,0.220501,0.863918,0.185594,P2P
8765,55509,0.000001,0.000096,0.000259,0.035732,0.011501,0.154657,0.004547,P2P
8765,38043,0.000001,0.000079,0.000364,0.031993,0.006644,0.169543,0.004586,P2P
6346,4800,0.199926,0.199926,0.199926,0.199926,0.199926,0.199926,0,P2P
8765,42999,0.000001,0.000115,0.000362,0.033613,0.000457,0.182626,0.005,P2P
8000,25053,0.000001,0.000265,0.022123,0.950147,0.945975,5.181833,2.955222,P2P
4662,3188,0.000394,0.000788,0.088761,2.549498,0.100702,42.363151,105.266859,P2P
8765,54370,0.000003,0.000121,0.00027,0.033351,0.003268,0.158191,0.004251,P2P
4662,3582,0.000327,0.00056,0.018196,2.955203,1.14725,39.271213,101.228477,P2P
4662,3516,0.000156,0.000759,0.166685,3.575851,2.421272,43.906737,109.426365,P2P
8080,47559,0.000001,0.000346,0.002535,0.032409,0.014845,0.146457,0.003634,P2P
8765,41557,0.000001,0.000345,0.000826,0.031044,0.008705,0.146344,0.003702,P2P
4662,3580,0.000434,0.000861,0.102277,2.640082,0.229151,43.284812,109.714595,P2P
8765,43375,0.000001,0.00021,0.000353,0.039008,0.037846,0.156473,0.004547,P2P
3550,4662,0.00054,0.00054,0.00054,0.00054,0.00054,0.00054,0,P2P
4662,3554,0.000399,0.000776,0.073248,2.596701,0.129706,43.044686,108.649578,P2P
8765,49354,0.000026,0.000117,0.000285,0.030187,0.002256,0.156708,0.003899,P2P
4662,3514,0.000294,0.000592,0.103643,2.487878,0.223774,40.723404,97.09439,P2P
8765,48152,0.000073,0.000232,0.00037,0.029988,0.009767,0.162351,0.003843,P2P
4662,3273,0.000357,0.0005,0.157994,3.676499,2.922812,43.945642,109.85804,P2P
4662,3246,0.000411,0.000765,0.11171,2.622369,0.17546,42.989498,108.221939,P2P
8765,33101,0.000001,0.000335,0.00038,0.046627,0.017041,0.201243,0.007613,P2P
8765,39011,0.000001,0.000119,0.000309,0.061618,0.050375,0.561688,0.018252,P2P
4662,3492,0.000437,0.02327,0.046102,0.785972,1.17874,2.311378,1.745668,P2P
4662,3532,0.000407,0.000743,0.318976,2.491386,0.904087,42.034746,86.828105,P2P
4662,3372,0.000423,0.000775,0.128232,2.215097,0.142034,42.500974,89.923569,P2P
3510,4662,0.00146,0.00146,0.00146,0.00146,0.00146,0.00146,0,P2P
8765,44948,0.000063,0.000122,0.000316,0.033861,0.009501,0.158011,0.004177,P2P
8765,44412,0.000019,0.000146,0.000343,0.031789,0.002774,0.168655,0.004268,P2P
8765,38714,0.000103,0.000175,0.000311,0.028794,0.000408,0.15954,0.003752,P2P
8765,42590,0.000001,0.000116,0.000207,0.034123,0.009885,0.159546,0.004242,P2P
8765,36434,0,0.000071,0.000116,0.009966,0.000229,0.164919,0.00147,P2P
8765,43937,0.000001,0.000115,0.000173,0.019169,0.000317,0.157893,0.002651,P2P
6346,4806,0.286418,0.286418,0.286418,0.286418,0.286418,0.286418,0,P2P
4662,3224,0.000289,0.000548,0.131163,2.830194,0.838874,42.364177,103.95194,P2P
8765,33126,0.000001,0.000112,0.000345,0.041777,0.002921,0.200332,0.006731,P2P
4662,3548,0,0,0,0,0,0,0,P2P
4662,3464,0.000432,0.000681,0.156107,3.015751,0.721429,40.525982,107.818003,P2P
8765,46533,0.000034,0.000174,0.000209,0.033994,0.003042,0.162782,0.004423,P2P
4662,3382,0,0,0,0,0,0,0,P2P
2500,4816,0.00021,0.000353,0.00098,0.290857,0.59762,0.753799,0.106556,P2P
8765,37403,0.000001,0.000369,0.004242,0.062807,0.011204,0.302454,0.015419,P2P
6346,4796,0.000197,0.014242,1.544674,2.339417,2.657622,11.136816,11.701995,P2P
4662,3210,0.000259,0.000492,0.146324,3.119519,1.664564,41.883328,100.400298,P2P
8765,57251,0.000001,0.000345,0.001853,0.044798,0.012159,0.408733,0.016383,P2P
8765,47823,0.000001,0.000245,0.000354,0.036991,0.021399,0.155582,0.004524,P2P
4662,3544,0.000476,0.040773,0.117127,0.126704,0.201849,0.28408,0.011791,P2P
8765,46516,0.000001,0.000134,0.000337,0.035321,0.004846,0.156876,0.00468,P2P
4662,3392,0.000292,0.000674,0.895086,3.077676,1.895298,40.221137,86.810437,P2P
4662,3180,0.000266,0.00067,0.101066,2.316557,0.182011,42.208408,93.334561,P2P
8765,55991,0.000002,0.000117,0.000369,0.037494,0.01336,0.173681,0.005031,P2P
8765,58979,0.000033,0.000116,0.000292,0.034839,0.018665,0.15684,0.00417,P2P
4662,3315,0.000259,0.000529,0.085534,2.164664,0.193566,41.260074,84.694498,P2P
4662,3602,0.000271,0.000709,0.085314,2.563536,0.098119,42.725811,107.11707,P2P
4662,3526,0.000272,0.000434,0.128647,2.6734,1.117761,38.657014,81.400449,P2P
